"","week","season","Team","Opponent","home_or_away","id","Team_conference","Team_division","Opponent_conference","Opponent_division","Team_points","Opponent_points","Bovada_over_under","DraftKings_over_under","William Hill (New Jersey)_over_under","ESPN Bet_over_under","Team_Last_Week_time_of_poss_total","Team_Last_Week_pass_comps","Team_Last_Week_pass_atts","Team_Last_Week_net_pass_yds","Team_Last_Week_pass_TDs","Team_Last_Week_interceptions","Team_Last_Week_rush_atts","Team_Last_Week_rush_yds","Team_Last_Week_rush_TDs","Team_Last_Week_total_yds","Team_Last_Week_fumbles_lost","Team_Last_Week_turnovers","Team_Last_Week_first_downs","Team_Last_Week_third_downs","Team_Last_Week_third_down_convs","Team_Last_Week_fourth_down_convs","Team_Last_Week_fourth_downs","Team_Last_Week_penalties","Team_Last_Week_penalty_yds","Team_szn_Average_time_of_poss_total","Team_szn_Average_pass_comps","Team_szn_Average_pass_atts","Team_szn_Average_net_pass_yds","Team_szn_Average_pass_TDs","Team_szn_Average_interceptions","Team_szn_Average_rush_atts","Team_szn_Average_rush_yds","Team_szn_Average_rush_TDs","Team_szn_Average_total_yds","Team_szn_Average_fumbles_lost","Team_szn_Average_turnovers","Team_szn_Average_first_downs","Team_szn_Average_third_downs","Team_szn_Average_third_down_convs","Team_szn_Average_fourth_down_convs","Team_szn_Average_fourth_downs","Team_szn_Average_penalties","Team_szn_Average_penalty_yds","Bovada_Bias","DraftKings_Bias","William_Hill_Bias","ESPN_Bias","Avergae_Bias","Team_Last_Week_Points","Team_Last_Week_Bias"
"1",5,2023,"Abilene Christian","North Texas","Away",401531436,"UAC","fcs","American Athletic","fbs",31,45,NA,NA,"70.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,5.5,NA,NA
"2",12,2023,"Abilene Christian","Texas A&M","Away",401520420,"UAC","fcs","SEC","fbs",10,38,NA,NA,NA,"54.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.5,-6.5,31,5.5
"3",2,2023,"Air Force","Sam Houston","Away",401520211,"Mountain West","fbs","Conference USA","fbs",13,3,"36.5","36.5","36.5",NA,1931,2,3,95,1,0,48,362,5,457,1,1,24,10,6,1,3,2,10,1931,2,3,95,1,0,48,362,5,457,1,1,24,10,6,1,3,2,10,-20.5,-20.5,-20.5,NA,-20.5,NA,NA
"4",3,2023,"Air Force","Utah State","Home",401532581,"Mountain West","fbs","Mountain West","fbs",39,21,"45.5",NA,"45.5",NA,2198,1,3,14,0,0,59,244,1,258,1,1,18,13,5,0,1,2,20,2064.5,1.5,3,54.5,0.5,0,53.5,303,3,357.5,1,1,21,11.5,5.5,0.5,2,2,15,14.5,NA,14.5,NA,14.5,13,-20.5
"5",4,2023,"Air Force","San José State","Away",401532584,"Mountain West","fbs","Mountain West","fbs",45,20,"45.0","45.5","45.5",NA,2320,3,4,84,0,0,64,344,5,428,0,0,24,13,9,1,1,6,60,2149.66666666667,2,3.33333333333333,64.3333333333333,0.333333333333333,0,57,316.666666666667,3.66666666666667,381,0.666666666666667,0.666666666666667,22,12,6.66666666666667,0.666666666666667,1.66666666666667,3.33333333333333,30,20,19.5,19.5,NA,19.6666666666667,39,14.5
"6",5,2023,"Air Force","San Diego State","Home",401532589,"Mountain West","fbs","Mountain West","fbs",49,10,"44.0","43.5","43.5",NA,2345,2,2,28,0,0,73,400,6,428,0,0,25,15,10,3,3,4,43,2198.5,2,3,55.25,0.25,0,61,337.5,4.25,392.75,0.5,0.5,22.75,12.75,7.5,1.25,2,3.5,33.25,15,15.5,15.5,NA,15.3333333333333,45,19.6666666666667
"7",7,2023,"Air Force","Wyoming","Home",401532598,"Mountain West","fbs","Mountain West","fbs",34,27,"41.0","42","42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2143.8,2.8,3.8,82,0.6,0,59.2,327.4,4.2,409.4,0.4,0.4,23,11.8,6.8,1.4,2,3,27.6,20,19,19,NA,19.3333333333333,49,15.3333333333333
"8",8,2023,"Air Force","Navy","Away",401531434,"Mountain West","fbs","American Athletic","fbs",17,6,"34.5","34","34",NA,1787,6,9,58,1,0,53,356,3,414,2,2,22,10,7,1,1,1,9,2084.33333333333,3.33333333333333,4.66666666666667,78,0.666666666666667,0,58.1666666666667,332.166666666667,4,410.166666666667,0.666666666666667,0.666666666666667,22.8333333333333,11.5,6.83333333333333,1.33333333333333,1.83333333333333,2.66666666666667,24.5,-11.5,-11,-11,NA,-11.1666666666667,34,19.3333333333333
"9",9,2023,"Air Force","Colorado State","Away",401532603,"Mountain West","fbs","Mountain West","fbs",30,13,"47.5","48","47",NA,1904,4,5,151,1,0,48,137,0,288,1,1,8,13,1,2,2,5,30,2058.57142857143,3.42857142857143,4.71428571428571,88.4285714285714,0.714285714285714,0,56.7142857142857,304.285714285714,3.42857142857143,392.714285714286,0.714285714285714,0.714285714285714,20.7142857142857,11.7142857142857,6,1.42857142857143,1.85714285714286,3,25.2857142857143,-4.5,-5,-4,NA,-4.5,17,-11.1666666666667
"10",10,2023,"Air Force","Army","Home",401520361,"Mountain West","fbs","FBS Independents","fbs",3,23,"32.0","32",NA,"32.5",2158,4,7,32,1,0,57,261,3,293,0,0,18,15,8,1,1,2,15,2071,3.5,5,81.375,0.75,0,56.75,298.875,3.375,380.25,0.625,0.625,20.375,12.125,6.25,1.375,1.75,2.875,24,-6,-6,NA,-6.5,-6.16666666666667,30,-4.5
